,teams
0,['Oklahoma']
1,"['Iowa', 'State']"
2,"['Florida', 'Atlantic']"
3,['UTEP']
4,"['North', 'Texas']"
5,"['Middle', 'Tennessee']"
6,['California']
7,['Stanford']
8,['Toledo']
9,"['Ball', 'State']"
10,"['Oregon', 'State']"
11,['UCLA']
12,['Kansas']
13,['Oklahoma']
14,['Rutgers']
15,['Indiana']
16,['UCF']
17,"['East', 'Carolina']"
18,['Missouri']
19,['Georgia']
20,['Akron']
21,"['Bowling', 'Green']"
22,"['Seattle', 'U']"
23,"['California', 'Baptist']"
24,['Niagara']
25,['Marist']
26,['Eastern']
27,"['Defeats', 'Northern', 'Arizona']"
28,"['UC', 'Irvine']"
29,"['Cal', 'Poly']"
30,"['North', 'Carolina']"
31,"['Virginia', 'Tech']"
32,"['Utah', 'State']"
33,['UNLV']
34,['Lamar']
35,"['Sam', 'Houston', 'State']"
36,['UConn']
37,['DePaul']
38,['Wisconsin']
39,"['Penn', 'State']"
40,"['Ole', 'Miss']"
41,"['South', 'Carolina']"
42,"['Norfolk', 'St']"
43,"['North', 'Carolina', 'Central']"
44,"['Louisiana', 'Tech']"
45,"['Florida', 'Atlantic']"
46,['Texas']
47,"['Texas', 'Tech']"
48,['USC']
49,['Utah']
50,['Grambling']
51,['Southern']
52,"['North', 'Texas']"
53,"['Old', 'Dominion']"
54,"['UC', 'Riverside']"
55,"[""Hawai'i""]"
56,['Montana']
57,"['Weber', 'State']"
58,"['New', 'Mexico', 'State']"
59,"['UT', 'Rio', 'Grande', 'Valley']"
60,"['Colorado', 'State']"
61,"['Fresno', 'State']"
62,['Colorado']
63,['California']
64,['Michigan']
65,['Maryland']
66,['Alabama']
67,"['Mississippi', 'State']"
68,"['Western', 'Kentucky']"
69,['UAB']
70,"['Wichita', 'State']"
71,"['South', 'Florida']"
72,"['Ohio', 'State']"
73,['Purdue']
74,['Tennessee']
75,['Florida']
76,"['North', 'Texas']"
77,"['Louisiana', 'Tech']"
78,"['Texas', 'Southern']"
79,"['Jackson', 'State']"
80,['Cincinnati']
81,['SMU']
82,['Ohio']
83,['Toledo']
84,['Iona']
85,['Niagara']
86,['Georgetown']
87,"['Seton', 'Hall']"
88,"['Morgan', 'St']"
89,"['Coppin', 'State']"
90,['Nicholls']
91,"['Northwestern', 'State']"
92,"['Oklahoma', 'State']"
93,['Baylor']
94,['Illinois']
95,['Rutgers']
96,['Houston']
97,['Tulane']
98,['Arkansas']
99,['Missouri']
100,"['Montana', 'State']"
101,"['Southern', 'Utah']"
102,"['Grand', 'Canyon']"
103,"['Seattle', 'U']"
104,['Buffalo']
105,['Akron']
106,['Fairfield']
107,"['Saint', ""Peter's""]"
108,"['Oregon', 'State']"
109,['Oregon']
110,"['Florida', 'State']"
111,"['North', 'Carolina']"
112,"['Abilene', 'Christian']"
113,['Lamar']
114,"['UC', 'Santa', 'Barbara']"
115,"['UC', 'Davis']"
116,['Creighton']
117,['UConn']
118,['Iowa']
119,['Wisconsin']
120,['LSU']
121,"['Ole', 'Miss']"
122,"['Prairie', 'View', 'A&M']"
123,['Grambling']
124,"['San', 'Diego', 'State']"
